Assignment ID,Assignment Name,Points Possible,Primary Due Date (UTC),Unlock Date (UTC),Lock Date (UTC),Is Published,Submission Type
662056,Total tutoring hours,8.0,,,,True,none
662053,Assessment Assignment (Midterm),10.0,2025-10-04T03:59:59Z,,,True,online_upload
662057,Week 1 Discussion Notes,1.0,2025-09-06T03:59:59Z,,,True,online_text_entry
662061,Week 2 Discussion Notes,1.0,2025-09-20T03:59:59Z,,,True,online_text_entry
662062,Week 3 Discussion Notes,1.0,2025-09-20T03:59:59Z,,,True,online_text_entry
662064,Week 4 Discussion Notes,1.0,2025-09-27T03:59:59Z,,,True,online_text_entry
662065,Week 6 Discussion Notes,1.0,2025-10-11T03:59:59Z,,,True,online_text_entry
662066,Week 7 Discussion Notes,1.0,2025-10-18T03:59:59Z,,,True,online_text_entry
662067,Week 8 Discussion Notes,1.0,2025-10-25T03:59:59Z,,,True,online_text_entry
662068,Week 9 Discussion Notes,1.0,2025-11-01T03:59:59Z,,,True,online_text_entry
662058,Week 12 Discussion Notes,1.0,2025-11-22T04:59:59Z,,,True,online_text_entry
662059,Week 11 Discussion Notes,1.0,2025-11-15T04:59:59Z,,,True,online_text_entry
662060,Week 10 Discussion Notes,1.0,2025-11-08T04:59:59Z,,,True,online_text_entry
673085,Week 5 Discussion Notes,0.0,2025-10-04T03:59:00Z,,,True,online_text_entry
662055,Final Project,10.0,2025-12-13T04:59:59Z,,,True,online_upload
662054,Attendance,12.0,,,,True,none
